category,region_nam,total_load,load_1kMg,sum_total,sum_1kMg,percent_load,nutrient,aggregion_nam
Agriculture,Atlantic Coast,3826065.837275709,3.826065837275709,15433851.841662217,15.433851841662216,24.79009048763581,ss,Southeast
Agriculture,California-Nevada,5594138.125521966,5.594138125521966,68074297.66352244,68.07429766352244,8.217694956138462,ss,Western
Agriculture,Central High Plains,8983121.696424786,8.983121696424787,18494319.544547036,18.494319544547036,48.57232878877892,ss,High Plains
Agriculture,Central Rockies,1603861.7541465713,1.6038617541465712,95184917.54990008,95.18491754990008,1.6849956856933315,ss,Western
Agriculture,Columbia-Snake,3360712.383923041,3.3607123839230413,21907644.65355383,21.907644653553827,15.340363772870813,ss,Western
Agriculture,Florida,92459.82632934333,0.09245982632934333,736856.1018678303,0.7368561018678302,12.547880935635899,ss,Southeast
Agriculture,Great Lakes,9173765.8220963,9.1737658220963,20922907.317682397,20.922907317682398,43.84555971503708,ss,Northeast through Midwest
Agriculture,Gulf Coast,24377497.487192765,24.377497487192766,134222503.46627986,134.22250346627987,18.1620047738992,ss,Southeast
Agriculture,Midwest,98752032.76397891,98.75203276397892,131087873.714101,131.087873714101,75.33269856779762,ss,Northeast through Midwest
Agriculture,Mississippi Embayment,23929450.986920036,23.929450986920035,30283104.393256985,30.283104393256984,79.0191476942777,ss,Southeast
Agriculture,Northeast,12306264.3823471,12.3062643823471,37481450.264352694,37.481450264352695,32.83294615216946,ss,Northeast through Midwest
Agriculture,Northern High Plains,13436828.102016289,13.436828102016289,34091964.89964587,34.09196489964587,39.41347511523416,ss,High Plains
Agriculture,Pacific Northwest,1350189.9183580014,1.3501899183580013,37038126.25795957,37.03812625795957,3.645405571962061,ss,Western
Agriculture,Souris-Red-Rainy,16869190.931168433,16.869190931168433,21744583.00318703,21.74458300318703,77.57882010749975,ss,Northeast through Midwest
Agriculture,Southern High Plains,24801993.635143507,24.801993635143507,45293507.96981861,45.293507969818606,54.758385355513525,ss,High Plains
Agriculture,Southwest Desert,157861.51828916377,0.15786151828916375,31296481.492763974,31.296481492763974,0.5044066002296864,ss,Western
Agriculture,Tennessee-Missouri,46250055.06017158,46.25005506017158,97902432.64575198,97.90243264575199,47.24096614383605,ss,Southeast
Agriculture,Texas,7295379.624273643,7.295379624273643,39238393.046015345,39.23839304601535,18.592452590294055,ss,Southeast
Natural sources,Atlantic Coast,8380197.219108718,8.380197219108718,15433851.841662217,15.433851841662216,54.29750981856112,ss,Southeast
Natural sources,California-Nevada,57829059.31051973,57.82905931051973,68074297.66352244,68.07429766352244,84.94991692217985,ss,Western
Natural sources,Central High Plains,2006814.3323299035,2.0068143323299035,18494319.544547036,18.494319544547036,10.850976849924729,ss,High Plains
Natural sources,Central Rockies,91295821.19960985,91.29582119960985,95184917.54990008,95.18491754990008,95.91416744333323,ss,Western
Natural sources,Columbia-Snake,17411772.6228227,17.4117726228227,21907644.65355383,21.907644653553827,79.47806757947474,ss,Western
Natural sources,Florida,436287.1379829891,0.43628713798298907,736856.1018678303,0.7368561018678302,59.20927259434513,ss,Southeast
Natural sources,Great Lakes,6373944.488571855,6.373944488571855,20922907.317682397,20.922907317682398,30.46395222132967,ss,Northeast through Midwest
Natural sources,Gulf Coast,84026915.23827973,84.02691523827973,134222503.46627986,134.22250346627987,62.60270302542036,ss,Southeast
Natural sources,Midwest,10986125.847972946,10.986125847972946,131087873.714101,131.087873714101,8.380733882321854,ss,Northeast through Midwest
Natural sources,Mississippi Embayment,2445827.395344534,2.445827395344534,30283104.393256985,30.283104393256984,8.076541174851071,ss,Southeast
Natural sources,Northeast,17125618.75858218,17.125618758582178,37481450.264352694,37.481450264352695,45.69091814163274,ss,Northeast through Midwest
Natural sources,Northern High Plains,3313949.256199776,3.313949256199776,34091964.89964587,34.09196489964587,9.720616766897468,ss,High Plains
