category,region_nam,aggregion_nam,total_load,percent,sum_total
Developed,Atlantic Coast,Southeast,2430154.846581361,100,2430154.846581361
Developed,California-Nevada,Western,364302.90495927905,100,364302.90495927905
Developed,Central High Plains,High Plains,318863.07257698657,100,318863.07257698657
Developed,Central Rockies,Western,34834.27387171847,100,34834.27387171847
Developed,Columbia-Snake,Western,135593.66286169426,100,135593.66286169426
Developed,Florida,Southeast,766566.6749538888,100,766566.6749538888
Developed,Great Lakes,Northeast through Midwest,2328353.897821229,100,2328353.897821229
Developed,Gulf Coast,Southeast,5841982.847243435,99.99999999999999,5841982.847243435
Developed,Midwest,Northeast through Midwest,6948167.098875813,100,6948167.098875813
Developed,Mississippi Embayment,Southeast,1393052.311262737,99.99999999999999,1393052.311262737
Developed,Northeast,Northeast through Midwest,5078871.095494557,100,5078871.095494557
Developed,Northern High Plains,High Plains,243588.37026970455,100,243588.37026970455
Developed,Pacific Northwest,Western,1814586.5348812072,100,1814586.5348812072
Developed,Souris-Red-Rainy,Northeast through Midwest,555223.4234459348,100,555223.4234459348
Developed,Southern High Plains,High Plains,1228270.1520757226,100,1228270.1520757226
Developed,Southwest Desert,Western,26056.424360549612,100,26056.424360549612
Developed,Tennessee-Missouri,Southeast,7924170.394064486,100,7924170.394064486
Developed,Texas,Southeast,453059.60531822324,100,453059.60531822324
Fertilizer and manure,Atlantic Coast,Southeast,6605208.258733201,100,6605208.258733201
Fertilizer and manure,California-Nevada,Western,3330257.523454841,100,3330257.523454841
Fertilizer and manure,Central High Plains,High Plains,5995861.285145602,100,5995861.285145602
Fertilizer and manure,Central Rockies,Western,144773.49422977038,100,144773.49422977038
Fertilizer and manure,Columbia-Snake,Western,2159076.660323887,100,2159076.660323887
Fertilizer and manure,Florida,Southeast,1915502.0709961196,100,1915502.0709961196
Fertilizer and manure,Great Lakes,Northeast through Midwest,9423645.980270375,100,9423645.980270375
Fertilizer and manure,Gulf Coast,Southeast,17547252.796631567,100,17547252.796631567
Fertilizer and manure,Midwest,Northeast through Midwest,55344220.53327367,100,55344220.53327367
Fertilizer and manure,Mississippi Embayment,Southeast,15677081.971028095,100,15677081.971028095
